Timestamp,Phase,Latency_ms,Status_Code
2026-09-11T22:54:07.627028,Cycle_1_Cold_Start,913.93,200
2026-09-11T22:54:14.074836,Cycle_1_Warm_1,680.99,200
2026-09-11T22:54:19.968966,Cycle_1_Warm_2,670.77,200
2026-09-11T22:54:25.874447,Cycle_1_Warm_3,669.03,200
2026-09-11T23:29:26.984011,Cycle_2_Cold_Start,916.64,200
2026-09-11T23:29:33.259827,Cycle_2_Warm_1,674.16,200
2026-09-11T23:29:39.134200,Cycle_2_Warm_2,657.25,200
2026-09-11T23:29:45.007723,Cycle_2_Warm_3,655.5,200
2026-09-12T00:04:46.151313,Cycle_3_Cold_Start,883.23,200
2026-09-12T00:04:52.565344,Cycle_3_Warm_1,681.22,200
2026-09-12T00:04:58.414413,Cycle_3_Warm_2,654.75,200
2026-09-12T00:05:04.305249,Cycle_3_Warm_3,671.76,200
2026-09-12T00:40:05.581240,Cycle_4_Cold_Start,1059.79,200
2026-09-12T00:40:11.822297,Cycle_4_Warm_1,670.7,200
2026-09-12T00:40:17.778576,Cycle_4_Warm_2,650.95,200
2026-09-12T00:40:23.678746,Cycle_4_Warm_3,646.33,200
2026-09-12T01:15:24.957647,Cycle_5_Cold_Start,918.3,200
2026-09-12T01:15:31.481392,Cycle_5_Warm_1,668.68,200
2026-09-12T01:15:37.450280,Cycle_5_Warm_2,653.61,200
2026-09-12T01:15:43.348438,Cycle_5_Warm_3,671.04,200
2026-09-12T01:50:44.531186,Cycle_6_Cold_Start,881.07,200
2026-09-12T01:50:50.768824,Cycle_6_Warm_1,660.58,200
2026-09-12T01:50:56.662474,Cycle_6_Warm_2,672.79,200
2026-09-12T01:51:02.544545,Cycle_6_Warm_3,674.27,200
2026-09-12T02:26:03.825613,Cycle_7_Cold_Start,1047.86,200
2026-09-12T02:26:09.859948,Cycle_7_Warm_1,660.78,200
2026-09-12T02:26:15.762360,Cycle_7_Warm_2,684.56,200
2026-09-12T02:26:21.765203,Cycle_7_Warm_3,645.89,200
2026-09-12T03:01:23.008438,Cycle_8_Cold_Start,907.46,200
2026-09-12T03:01:29.354751,Cycle_8_Warm_1,675.88,200
2026-09-12T03:01:35.226569,Cycle_8_Warm_2,667.39,200
2026-09-12T03:01:41.108503,Cycle_8_Warm_3,686.02,200
2026-09-12T03:36:42.206830,Cycle_9_Cold_Start,914.46,200
2026-09-12T03:36:48.436810,Cycle_9_Warm_1,675.16,200
2026-09-12T03:36:54.390302,Cycle_9_Warm_2,647.47,200
2026-09-12T03:37:00.280995,Cycle_9_Warm_3,679.38,200
2026-09-13T12:37:02.494928,Cycle_1_Cold_Start,1217.82,200
2026-09-13T12:37:08.869810,Cycle_1_Warm_1,756.89,200
2026-09-13T12:37:14.809186,Cycle_1_Warm_2,739.51,200
2026-09-13T12:37:20.757912,Cycle_1_Warm_3,733.5,200
2026-09-13T13:12:22.008569,Cycle_2_Cold_Start,1018.41,200
2026-09-13T13:12:28.358137,Cycle_2_Warm_1,760.43,200
2026-09-13T13:12:34.294010,Cycle_2_Warm_2,729.41,200
2026-09-13T13:12:40.284433,Cycle_2_Warm_3,755.71,200
2026-09-13T13:47:41.456263,Cycle_3_Cold_Start,970.95,200
2026-09-13T13:47:48.004221,Cycle_3_Warm_1,746.99,200
2026-09-13T13:47:53.952086,Cycle_3_Warm_2,744.0,200
2026-09-13T13:47:59.873593,Cycle_3_Warm_3,730.85,200
2026-09-13T14:23:01.073979,Cycle_4_Cold_Start,997.05,200
2026-09-13T14:23:07.393551,Cycle_4_Warm_1,726.75,200
2026-09-13T14:23:13.358165,Cycle_4_Warm_2,750.08,200
2026-09-13T14:23:19.284078,Cycle_4_Warm_3,729.93,200
2026-09-13T14:58:20.497504,Cycle_5_Cold_Start,1001.73,200
2026-09-13T14:58:26.761945,Cycle_5_Warm_1,757.45,200
2026-09-13T14:58:32.699953,Cycle_5_Warm_2,748.21,200
2026-09-13T14:58:38.635866,Cycle_5_Warm_3,736.87,200
2026-09-13T15:33:39.993416,Cycle_6_Cold_Start,1166.03,200
2026-09-13T15:33:46.220828,Cycle_6_Warm_1,759.75,200
2026-09-13T15:33:52.132641,Cycle_6_Warm_2,730.58,200
2026-09-13T15:33:58.059222,Cycle_6_Warm_3,730.28,200
2026-09-13T16:08:59.266380,Cycle_7_Cold_Start,998.77,200
2026-09-13T16:09:05.586710,Cycle_7_Warm_1,755.12,200
2026-09-13T16:09:11.504214,Cycle_7_Warm_2,729.51,200
2026-09-13T16:09:17.440198,Cycle_7_Warm_3,736.23,200
